event_id,company_name,switch_type,event_date_basis,event_date,yahoo_ticker,google_finance_symbol,tase_security_id,isin,mapping_status,mapping_confidence,event_is_future,price_extraction_eligibility,price_status,price_notes,stock_t_minus_5_date,stock_event_trading_date,stock_t_plus_5_date,stock_price_t_minus_5,stock_price_event,stock_price_t_plus_5,stock_price_source,market_index_ticker,market_t_minus_5_date,market_event_trading_date,market_t_plus_5_date,ta125_price_t_minus_5,ta125_price_event,ta125_price_t_plus_5,market_price_source,market_price_status,market_price_notes,stock_price_rows_available,market_price_rows_available,extraction_timestamp
13,מנדלסון תשתיות,Small to Small,auditor_switch_date,2026-02-18,MNIN.TA,TLV:MNIN,,,MAPPED_MANUALLY,HIGH,False,ELIGIBLE_FOR_PRICE_EXTRACTION,OK,,2026-02-11,2026-02-18,2026-02-25,1451.0,1466.0,1456.0,yfinance,^TA125.TA,2026-02-11,2026-02-18,2026-02-25,4136.009765625,4202.509765625,4103.06982421875,yfinance,OK,,62,1360,2026-05-27T12:18:24.769552+00:00
14,"נקסט ג'ן ביומד בע""מ",Small to Small,auditor_switch_date,2022-12-18,,TLV:NXGN-M,,IL0010839301,MAPPED_MANUALLY,HIGH,False,ELIGIBLE_FOR_PRICE_EXTRACTION,MISSING_TICKER,Yahoo ticker is missing.,,,,,,,yfinance,^TA125.TA,,,,,,,yfinance,,,0,1360,2026-05-27T12:18:24.769552+00:00
15,מנרב,Small to Small,auditor_switch_date,2022-11-30,MNRV.TA,TLV:MNRV,,,MAPPED_MANUALLY,HIGH,False,ELIGIBLE_FOR_PRICE_EXTRACTION,TICKER_VALIDATION_FAILED,Ticker validation status: NO_DATA_RETURNED,,,,,,,yfinance,^TA125.TA,,,,,,,yfinance,OK,OK,0,1360,2026-05-27T12:18:24.769552+00:00
16,מיי טאון,Small to Small,auditor_switch_date,2025-02-07,,,1214626.0,IL0012146267,MAPPED_MANUALLY,HIGH,False,ELIGIBLE_FOR_PRICE_EXTRACTION,MISSING_TICKER,Yahoo ticker is missing.,,,,,,,yfinance,^TA125.TA,,,,,,,yfinance,,,0,1360,2026-05-27T12:18:24.769552+00:00
17,אגוד הנפקות,Small to Small,auditor_switch_date,2020-09-30,,,,,PENDING_MANUAL_REVIEW,UNKNOWN,False,ELIGIBLE_FOR_PRICE_EXTRACTION,MISSING_TICKER,Yahoo ticker is missing.,,,,,,,yfinance,^TA125.TA,,,,,,,yfinance,,,0,1360,2026-05-27T12:18:24.769552+00:00
18,"אלקטרה נדל""ן",Small to Small,auditor_switch_date,2020-09-09,ELCRE.TA,TLV:ELCRE,1094044.0,,MAPPED_MANUALLY,HIGH,False,ELIGIBLE_FOR_PRICE_EXTRACTION,OK,,2020-09-01,2020-09-09,2020-09-17,1541.0,1477.0,1456.0,yfinance,^TA125.TA,2020-09-01,2020-09-09,2020-09-17,1422.260009765625,1352.81005859375,1356.0699462890625,yfinance,OK,,50,1360,2026-05-27T12:18:24.769552+00:00
19,אינרום בניה,Small to Small,auditor_switch_date,2025-07-13,INRM.TA,TLV:INRM,1132356.0,,MAPPED_MANUALLY,HIGH,False,ELIGIBLE_FOR_PRICE_EXTRACTION,OK,,2025-07-03,2025-07-14,2025-07-22,2288.0,2251.0,2244.0,yfinance,^TA125.TA,2025-07-03,2025-07-14,2025-07-22,3097.31005859375,3054.89990234375,3111.389892578125,yfinance,OK,,51,1360,2026-05-27T12:18:24.769552+00:00
20,"שדה נדל""ן",Small to Big,auditor_switch_date,2020-07-09,SADE.TA,TLV:SADE,,IL0003410169,MAPPED_MANUALLY,HIGH,False,ELIGIBLE_FOR_PRICE_EXTRACTION,OK,,2020-07-01,2020-07-09,2020-07-20,2194.0,2220.0,4405.0,yfinance,^TA125.TA,2020-07-01,2020-07-09,2020-07-20,1361.9100341796875,1337.9599609375,1386.5799560546875,yfinance,OK,,804,1360,2026-05-27T12:18:24.769552+00:00
21,ברנד,Small to Small,auditor_switch_date,2025-07-28,BRND.TA,TLV:BRND,,,MAPPED_MANUALLY,HIGH,False,ELIGIBLE_FOR_PRICE_EXTRACTION,OK,,2025-07-17,2025-07-28,2025-08-05,359.0,367.6000061035156,351.0,yfinance,^TA125.TA,2025-07-17,2025-07-28,2025-08-05,3086.580078125,3108.429931640625,3002.409912109375,yfinance,OK,,52,1360,2026-05-27T12:18:24.769552+00:00
22,שירותי בנק אוטו,Big to Small,auditor_switch_date,2020-08-16,SHVA.TA,TLV:SHVA,,,MAPPED_MANUALLY,HIGH,False,ELIGIBLE_FOR_PRICE_EXTRACTION,OK,,2020-08-06,2020-08-17,2020-08-25,961.7999877929688,1096.0,1050.0,yfinance,^TA125.TA,2020-08-06,2020-08-17,2020-08-25,1415.02001953125,1457.8900146484375,1440.6400146484375,yfinance,OK,,50,1360,2026-05-27T12:18:24.769552+00:00
23,אוטונומוס,Big to Small,auditor_switch_date,2025-07-30,AGRD.TA,TLV:AGRD,1083419.0,,MAPPED_MANUALLY,HIGH,False,ELIGIBLE_FOR_PRICE_EXTRACTION,OK,,2025-07-22,2025-07-30,2025-08-07,2299.0,2108.0,2052.0,yfinance,^TA125.TA,2025-07-22,2025-07-30,2025-08-07,3111.389892578125,3086.72998046875,2982.929931640625,yfinance,OK,,35,1360,2026-05-27T12:18:24.769552+00:00
24,חג׳ג׳ אירופה,Small to Big,auditor_switch_date,2025-11-06,HGGE.TA,TLV:HGGE,1143635.0,IL0011436354,MAPPED_MANUALLY,HIGH,False,ELIGIBLE_FOR_PRICE_EXTRACTION,OK,,2025-10-29,2025-11-06,2025-11-17,845.5999755859375,894.0,936.5999755859376,yfinance,^TA125.TA,2025-10-29,2025-11-06,2025-11-17,3329.8798828125,3389.340087890625,3497.860107421875,yfinance,OK,,43,1360,2026-05-27T12:18:24.769552+00:00
25,אקסיליון,Small to Small,auditor_switch_date,2020-09-08,AILN.TA,TLV:AILN,383018.0,,MAPPED_MANUALLY,HIGH,False,ELIGIBLE_FOR_PRICE_EXTRACTION,OK,,2020-08-31,2020-09-08,2020-09-17,800000.0,800000.0,6353.75,yfinance,^TA125.TA,2020-08-31,2020-09-08,2020-09-17,1423.0899658203125,1354.030029296875,1356.0699462890625,yfinance,OK,,49,1360,2026-05-27T12:18:24.769552+00:00
26,בוני תיכון,Big to Small,auditor_switch_date,2020-02-08,BOTI.TA,TLV:BOTI,,IL0005310128,MAPPED_MANUALLY,HIGH,False,ELIGIBLE_FOR_PRICE_EXTRACTION,OK,,2020-01-30,2020-02-10,2020-02-18,812.0999755859375,830.0999755859375,841.5999755859375,yfinance,^TA125.TA,2020-01-30,2020-02-10,2020-02-18,1635.449951171875,1644.0899658203125,1656.199951171875,yfinance,OK,,50,1360,2026-05-27T12:18:24.769552+00:00
27,ישראל קנדה מלונות,Small to Small,auditor_switch_date,2025-10-11,ICHO.TA,TLV:ICHO,,,MAPPED_MANUALLY,HIGH,False,ELIGIBLE_FOR_PRICE_EXTRACTION,OK,,2025-09-25,2025-10-15,2025-10-23,101.4000015258789,113.5999984741211,128.0,yfinance,^TA125.TA,2025-09-25,2025-10-15,2025-10-23,3069.27001953125,3325.280029296875,3277.02001953125,yfinance,OK,,43,1360,2026-05-27T12:18:24.769552+00:00
28,נקסטייג׳,Big to Small,auditor_switch_date,2025-11-12,NXTG.TA,TLV:NXTG,,IL0004330119,MAPPED_MANUALLY,HIGH,False,ELIGIBLE_FOR_PRICE_EXTRACTION,TICKER_VALIDATION_FAILED,Ticker validation status: NO_DATA_RETURNED,,,,,,,yfinance,^TA125.TA,,,,,,,yfinance,OK,OK,0,1360,2026-05-27T12:18:24.769552+00:00
29,אפריקה מגורים,Small to Small,auditor_switch_date,2020-07-23,AFRE.TA,TLV:AFRE,1097948.0,,MAPPED_MANUALLY,HIGH,False,ELIGIBLE_FOR_PRICE_EXTRACTION,OK,,2020-07-15,2020-07-23,2020-08-04,9975.0,10150.0,9990.0,yfinance,^TA125.TA,2020-07-15,2020-07-23,2020-08-04,1385.8599853515625,1388.6500244140625,1397.0899658203125,yfinance,OK,,51,1360,2026-05-27T12:18:24.769552+00:00
30,דורסל,Small to Small,auditor_switch_date,2026-01-07,DRSL.TA,TLV:DRSL,1190628.0,,MAPPED_MANUALLY,HIGH,False,ELIGIBLE_FOR_PRICE_EXTRACTION,TICKER_VALIDATION_FAILED,Ticker validation status: NO_DATA_RETURNED,,,,,,,yfinance,^TA125.TA,,,,,,,yfinance,OK,OK,0,1360,2026-05-27T12:18:24.769552+00:00
31,תמיס,Small to Small,auditor_switch_date,2026-01-12,TMIS.TA,TLV:TMIS,1097229.0,IL0010972292,MAPPED_MANUALLY,HIGH,False,ELIGIBLE_FOR_PRICE_EXTRACTION,OK,,2026-01-05,2026-01-12,2026-01-19,1240.0,1156.0,1219.0,yfinance,^TA125.TA,2026-01-05,2026-01-12,2026-01-19,3794.159912109375,3926.3798828125,3987.85009765625,yfinance,OK,,59,1360,2026-05-27T12:18:24.769552+00:00
32,ישראכרט,Small to Big,auditor_switch_date,2020-07-16,ISCD.TA,TLV:ISCD,1157403.0,,MAPPED_MANUALLY,HIGH,False,ELIGIBLE_FOR_PRICE_EXTRACTION,OK,,2020-07-08,2020-07-16,2020-07-27,755.0999755859375,852.5,796.4000244140625,yfinance,^TA125.TA,2020-07-08,2020-07-16,2020-07-27,1341.22998046875,1375.239990234375,1375.5799560546875,yfinance,OK,,51,1360,2026-05-27T12:18:24.769552+00:00
33,בליץ,Big to Small,auditor_switch_date,2026-01-28,BLITZ.TA,TLV:BLITZ,,,MAPPED_MANUALLY,HIGH,False,ELIGIBLE_FOR_PRICE_EXTRACTION,TICKER_VALIDATION_FAILED,Ticker validation status: NO_DATA_RETURNED,,,,,,,yfinance,^TA125.TA,,,,,,,yfinance,OK,OK,0,1360,2026-05-27T12:18:24.769552+00:00
34,פסיירקס ביוטק,Small to Small,auditor_switch_date,2026-02-12,PSRX.TA,TLV:PSRX,1176908.0,,MAPPED_MANUALLY,HIGH,False,ELIGIBLE_FOR_PRICE_EXTRACTION,OK,,2026-02-05,2026-02-12,2026-02-19,94.9000015258789,124.5999984741211,122.0,yfinance,^TA125.TA,2026-02-05,2026-02-12,2026-02-19,4027.219970703125,4167.22998046875,4173.0,yfinance,OK,,63,1360,2026-05-27T12:18:24.769552+00:00
35,מלם-תים אחזקות,Small to Small,auditor_switch_date,2024-04-08,MLTH.TA,TLV:MLTH,731018.0,,MAPPED_MANUALLY,HIGH,False,ELIGIBLE_FOR_PRICE_EXTRACTION,OK,,2024-03-28,2024-04-08,2024-04-16,9615.0,9852.0,8964.0,yfinance,^TA125.TA,2024-03-28,2024-04-08,2024-04-16,2028.5699462890625,2025.72998046875,1932.280029296875,yfinance,OK,,46,1360,2026-05-27T12:18:24.769552+00:00
36,מיטק,Small to Big,auditor_switch_date,2020-10-06,,TLV:MITC,7222102.0,,MAPPED_MANUALLY,HIGH,False,ELIGIBLE_FOR_PRICE_EXTRACTION,MISSING_TICKER,Yahoo ticker is missing.,,,,,,,yfinance,^TA125.TA,,,,,,,yfinance,,,0,1360,2026-05-27T12:18:24.769552+00:00
37,פרידנזון,Small to Big,auditor_switch_date,2020-05-14,FRDN.TA,TLV:FRDN,1102219.0,,MAPPED_MANUALLY,HIGH,False,ELIGIBLE_FOR_PRICE_EXTRACTION,OK,,2020-05-06,2020-05-14,2020-05-25,5518.0,5136.0,5100.0,yfinance,^TA125.TA,2020-05-06,2020-05-14,2020-05-25,1394.6500244140625,1330.77001953125,1430.219970703125,yfinance,OK,,45,1360,2026-05-27T12:18:24.769552+00:00
38,מטריקס,Big to Small,auditor_switch_date,2024-04-03,MTRX.TA,TLV:MTRX,445015.0,,MAPPED_MANUALLY,HIGH,False,ELIGIBLE_FOR_PRICE_EXTRACTION,OK,,2024-03-26,2024-04-03,2024-04-11,8180.0,8080.0,7998.0,yfinance,^TA125.TA,2024-03-26,2024-04-03,2024-04-11,2040.8199462890625,2006.0699462890625,1952.9599609375,yfinance,OK,,46,1360,2026-05-27T12:18:24.769552+00:00
39,לאומי,Small to Small,auditor_switch_date,2020-03-24,LUMI.TA,TLV:LUMI,604611.0,,MAPPED_MANUALLY,HIGH,False,ELIGIBLE_FOR_PRICE_EXTRACTION,OK,,2020-03-16,2020-03-24,2020-04-01,1803.0,1844.0,1902.0,yfinance,^TA125.TA,2020-03-16,2020-03-24,2020-04-01,1170.06005859375,1188.8499755859375,1236.8299560546875,yfinance,OK,,44,1360,2026-05-27T12:18:24.769552+00:00
40,ברק בית השקעות,Small to Big,auditor_switch_date,2020-03-17,BARI.TA,TLV:BARI,1104363.0,IL0011043630,MAPPED_MANUALLY,HIGH,False,ELIGIBLE_FOR_PRICE_EXTRACTION,OK,,2020-03-05,2020-03-17,2020-03-25,295300.0,172900.0,192600.0,yfinance,^TA125.TA,2020-03-05,2020-03-17,2020-03-25,1479.9300537109375,1190.3199462890625,1191.77001953125,yfinance,OK,,44,1360,2026-05-27T12:18:24.769552+00:00
41,שוהם ביזנס,Small to Small,auditor_switch_date,2024-02-18,SHOM.TA,TLV:SHOM,1082007.0,,MAPPED_MANUALLY,HIGH,False,ELIGIBLE_FOR_PRICE_EXTRACTION,OK,,2024-02-08,2024-02-19,2024-02-28,558.0,597.5999755859375,584.9000244140625,yfinance,^TA125.TA,2024-02-08,2024-02-19,2024-02-28,1865.5899658203125,1933.8699951171875,1964.18994140625,yfinance,OK,,51,1360,2026-05-27T12:18:24.769552+00:00
42,אימקו,Small to Big,auditor_switch_date,2020-02-17,IMCO.TA,TLV:IMCO,,IL0002820129,MAPPED_MANUALLY,HIGH,False,ELIGIBLE_FOR_PRICE_EXTRACTION,OK,,2020-02-06,2020-02-17,2020-02-25,1654.0,1597.0,1550.0,yfinance,^TA125.TA,2020-02-06,2020-02-17,2020-02-25,1665.0699462890625,1668.739990234375,1609.530029296875,yfinance,OK,,50,1360,2026-05-27T12:18:24.769552+00:00
43,ווליו פ2פ,Small to Big,auditor_switch_date,2020-02-02,,TLV:P2P.L,1155936.0,IL0011559361,MAPPED_MANUALLY,HIGH,False,ELIGIBLE_FOR_PRICE_EXTRACTION,MISSING_TICKER,Yahoo ticker is missing.,,,,,,,yfinance,^TA125.TA,,,,,,,yfinance,,,0,1360,2026-05-27T12:18:24.769552+00:00
44,ישראייר גרופ,Small to Big,auditor_switch_date,2024-02-14,ISRG.TA,TLV:ISRG,1187194.0,,MAPPED_MANUALLY,HIGH,False,ELIGIBLE_FOR_PRICE_EXTRACTION,OK,,2024-02-06,2024-02-14,2024-02-22,151.1999969482422,159.1999969482422,149.39999389648438,yfinance,^TA125.TA,2024-02-06,2024-02-14,2024-02-22,1874.8499755859373,1886.449951171875,1945.489990234375,yfinance,OK,,51,1360,2026-05-27T12:18:24.769552+00:00
45,תעוזה,Small to Small,auditor_switch_date,2020-01-28,TUZA.TA,TLV:TUZA,290023.0,IL0002900236,MAPPED_MANUALLY,HIGH,False,ELIGIBLE_FOR_PRICE_EXTRACTION,OK,,2020-01-20,2020-01-28,2020-02-05,46.900001525878906,40.79999923706055,40.5,yfinance,^TA125.TA,2020-01-20,2020-01-28,2020-02-05,1662.0699462890625,1637.3199462890625,1657.02001953125,yfinance,OK,,50,1360,2026-05-27T12:18:24.769552+00:00
46,א. לוי השקעות,Big to Small,auditor_switch_date,2019-11-29,LEVA.TA,TLV:LEVA,,,MAPPED_MANUALLY,HIGH,False,ELIGIBLE_FOR_PRICE_EXTRACTION,TICKER_VALIDATION_FAILED,Ticker validation status: NO_DATA_RETURNED,,,,,,,yfinance,^TA125.TA,,,,,,,yfinance,OK,OK,0,1360,2026-05-27T12:18:24.769552+00:00
47,ביולייט,Big to Small,auditor_switch_date,2019-11-10,BOLT.TA,TLV:BOLT,1095223.0,,MAPPED_MANUALLY,HIGH,False,ELIGIBLE_FOR_PRICE_EXTRACTION,OK,,2019-10-31,2019-11-11,2019-11-19,929.0,889.0,783.5,yfinance,^TA125.TA,2019-10-31,2019-11-11,2019-11-19,1577.969970703125,1571.1600341796875,1597.0799560546875,yfinance,OK,,46,1360,2026-05-27T12:18:24.769552+00:00
48,איי ארגנטו,Small to Big,auditor_switch_date,2024-02-11,IARG.TA,TLV:IARG,1173343.0,,MAPPED_MANUALLY,HIGH,False,ELIGIBLE_FOR_PRICE_EXTRACTION,OK,,2024-02-01,2024-02-12,2024-02-20,182.8000030517578,160.60000610351562,146.5,yfinance,^TA125.TA,2024-02-01,2024-02-12,2024-02-20,1849.0899658203125,1875.56005859375,1933.8399658203125,yfinance,OK,,46,1360,2026-05-27T12:18:24.769552+00:00
49,אפי נכסים,Small to Small,auditor_switch_date,2019-09-25,AFPR.TA,TLV:AFPR,1091354.0,,MAPPED_MANUALLY,HIGH,False,ELIGIBLE_FOR_PRICE_EXTRACTION,OK,,2019-09-16,2019-09-25,2019-10-10,11556.251953125,11795.140625,11894.677734375,yfinance,^TA125.TA,2019-09-16,2019-09-25,2019-10-10,1516.06005859375,1520.489990234375,1535.1800537109375,yfinance,OK,,45,1360,2026-05-27T12:18:24.769552+00:00
50,לפידות,Small to Small,auditor_switch_date,2024-01-09,LAPD.TA,TLV:LAPD,642017.0,,MAPPED_MANUALLY,HIGH,False,ELIGIBLE_FOR_PRICE_EXTRACTION,OK,,2024-01-01,2024-01-09,2024-01-17,5901.0,5586.0,5350.0,yfinance,^TA125.TA,2024-01-01,2024-01-09,2024-01-17,1926.3499755859373,1887.699951171875,1830.4100341796875,yfinance,OK,,52,1360,2026-05-27T12:18:24.769552+00:00
