company_name,auditor_switch_date_raw,auditor_switch_date,auditor_switch_date_status,report_publication_date_raw,report_publication_date,report_publication_date_status,event_date_basis,event_date_raw,event_date,event_year,event_month,event_date_status,event_is_future,price_extraction_eligibility,old_auditor,new_auditor,from_big4,to_big4,switch_type,data_status,source_row_number,is_duplicate_company_event,stock_price_before_raw,stock_price_after_raw,reported_stock_change_raw,stock_price_before,stock_price_after,reported_stock_change,implied_return,reported_vs_implied_diff,price_consistency_flag,raw__unnamed_1,raw__חברה,raw__תאריך החלפה,raw__תאריך פרסום דוחות,raw__מחיר מניה לפני,raw__מחיר מניה אחרי,raw__שינוי באחוזים,raw__תשואת תיק השוק,raw__תשואה חריגה,raw__גודל החברה,raw__מעבר מbig4,raw__מעבר לbig4,raw__roe,raw__מינוף,raw__סך הנכסים,raw__הון עצמי,raw__רווח
אבו מגורים,16/11/2025,2025-11-16,OK,19/3/2026,2026-03-19,OK,auditor_switch_date,16/11/2025,2025-11-16,2025,11,OK,False,ELIGIBLE_FOR_PRICE_EXTRACTION,,,0,0,Small to Small,READY_FOR_TICKER_MAPPING,3,False,959.21,795.2,-0.170984456,959.21,795.2,-0.170984456,-0.17098445595854916,-4.1450842758194995e-11,CONSISTENT,1,אבו מגורים,16/11/2025,19/3/2026,959.21,795.2,-0.170984456,,,20.47,0,0,0.025,2.22,774500000,240600000,4540000
גלובל פיי-ש,19/02/2025,2025-02-19,OK,31/3/2025,2025-03-31,OK,auditor_switch_date,19/02/2025,2025-02-19,2025,2,OK,False,ELIGIBLE_FOR_PRICE_EXTRACTION,,,0,0,Small to Small,READY_FOR_TICKER_MAPPING,4,False,114.2,118,0.03327495622,114.2,118.0,0.03327495622,0.03327495621716281,2.8371888172173954e-12,CONSISTENT,2,גלובל פיי-ש,19/02/2025,31/3/2025,114.2,118,0.03327495622,,,16.71,0,0,0.046,0.62,18000000,11100000,510000
"אמיליה פיתוח )מ.עו.פ.( בע""מ",17/02/2026,2026-02-17,OK,30/3/2026,2026-03-30,OK,auditor_switch_date,17/02/2026,2026-02-17,2026,2,OK,False,ELIGIBLE_FOR_PRICE_EXTRACTION,,,0,0,Small to Small,READY_FOR_TICKER_MAPPING,5,False,,,#DIV/0!,,,,,,NOT_ENOUGH_DATA,3,"אמיליה פיתוח )מ.עו.פ.( בע""מ",17/02/2026,30/3/2026,,,#DIV/0!,,,22.19,0,0,0.097,1.77,4340000000,1570000000,151500000
"שדה נדל""ן",2024-05-03 00:00:00,2024-05-03,OK,31/3/2024,2024-03-31,OK,auditor_switch_date,2024-05-03 00:00:00,2024-05-03,2024,5,OK,False,ELIGIBLE_FOR_PRICE_EXTRACTION,,,0,0,Small to Small,READY_FOR_TICKER_MAPPING,6,False,226,202,-0.1061946903,226.0,202.0,-0.1061946903,-0.10619469026548678,-3.4513225610766085e-11,CONSISTENT,4,"שדה נדל""ן",2024-05-03 00:00:00,31/3/2024,226,202,-0.1061946903,,,16.54,0,0,-1.034,0.1,15300000,13900000,-14400000
ספידווליו,24/08/2025,2025-08-24,OK,25/03/2026,2026-03-25,OK,auditor_switch_date,24/08/2025,2025-08-24,2025,8,OK,False,ELIGIBLE_FOR_PRICE_EXTRACTION,,,1,0,Big to Small,READY_FOR_TICKER_MAPPING,7,False,324.9,350,0.07725453986,324.9,350.0,0.07725453986,0.07725453985841813,1.5818735210615387e-12,CONSISTENT,5,ספידווליו,24/08/2025,25/03/2026,324.9,350,0.07725453986,,,18.64,1,0,0.089,1.27,124600000,51800000,4860000
הום ביוגז,17/07/2024,2024-07-17,OK,26/03/2025,2025-03-26,OK,auditor_switch_date,17/07/2024,2024-07-17,2024,7,OK,False,ELIGIBLE_FOR_PRICE_EXTRACTION,,,1,0,Big to Small,READY_FOR_TICKER_MAPPING,8,False,161.3,151.3,-0.06199628022,161.3,151.3,-0.06199628022,-0.061996280223186595,3.186596819748644e-12,CONSISTENT,6,הום ביוגז,17/07/2024,26/03/2025,161.3,151.3,-0.06199628022,,,18.09,1,0,-1.053,0.37ֿ,72100000,52900000,-55700000
טוגדר,28/07/2025,2025-07-28,OK,26/03/2026,2026-03-26,OK,auditor_switch_date,28/07/2025,2025-07-28,2025,7,OK,False,ELIGIBLE_FOR_PRICE_EXTRACTION,,,0,0,Small to Small,READY_FOR_TICKER_MAPPING,9,False,390.9,393.6,0.006907137375,390.9,393.6,0.006907137375,0.0069071373752878085,-2.8780883926105005e-13,CONSISTENT,7,טוגדר,28/07/2025,26/03/2026,390.9,393.6,0.006907137375,,,18.85,0,0,0.038,2.07,153980000,50140000,1920000
אספן גרופ,24\5\2026,2026-05-24,OK,לא פורסם עדיין,,INVALID_DATE,auditor_switch_date,24\5\2026,2026-05-24,2026,5,OK,False,ELIGIBLE_FOR_PRICE_EXTRACTION,,,0,0,Small to Small,READY_FOR_TICKER_MAPPING,10,False,726.5,738.6,0.01665519615,726.5,738.6,0.01665519615,0.01665519614590516,4.094839051171917e-12,CONSISTENT,8,אספן גרופ,24\5\2026,לא פורסם עדיין,726.5,738.6,0.01665519615,,,22.03,0,0,0.22,2.66,3685000000,1008000000,22190000
ג׳נסל בע״מ,2026-07-05 00:00:00,2026-07-05,OK,לא פורסם עדיין,,INVALID_DATE,auditor_switch_date,2026-07-05 00:00:00,2026-07-05,2026,7,OK,True,FUTURE_EVENT_DATE,,,1,0,Big to Small,READY_FOR_TICKER_MAPPING,11,False,108.7,91,-0.1628334867,108.7,91.0,-0.1628334867,-0.16283348666053366,-3.946634685725314e-11,CONSISTENT,9,ג׳נסל בע״מ,2026-07-05 00:00:00,לא פורסם עדיין,108.7,91,-0.1628334867,,,18.54,1,0,-0.273,1.11,112700000,53500000,-14600000
נופר אנרג׳י,2026-07-05 00:00:00,2026-07-05,OK,לא פורסם עדיין,,INVALID_DATE,auditor_switch_date,2026-07-05 00:00:00,2026-07-05,2026,7,OK,True,FUTURE_EVENT_DATE,,,0,0,Small to Small,READY_FOR_TICKER_MAPPING,12,False,19230,25330,0.3172126885,19230.0,25330.0,0.3172126885,0.31721268850754036,-7.540357227497907e-12,CONSISTENT,10,נופר אנרג׳י,2026-07-05 00:00:00,לא פורסם עדיין,19230,25330,0.3172126885,,,23.57,0,0,0.073,2.95,17160000000,4340000000,318000000
