company_name,auditor_switch_date_raw,auditor_switch_date,auditor_switch_date_status,report_publication_date_raw,report_publication_date,report_publication_date_status,event_date_basis,event_date_raw,event_date,event_year,event_month,event_date_status,event_is_future,price_extraction_eligibility,old_auditor,new_auditor,from_big4,to_big4,switch_type,data_status,source_row_number,is_duplicate_company_event,stock_price_before_raw,stock_price_after_raw,reported_stock_change_raw,stock_price_before,stock_price_after,reported_stock_change,implied_return,reported_vs_implied_diff,price_consistency_flag,raw__unnamed_1,raw__חברה,raw__תאריך החלפה,raw__תאריך פרסום דוחות,raw__מחיר מניה לפני,raw__מחיר מניה אחרי,raw__שינוי באחוזים,raw__תשואת תיק השוק,raw__תשואה חריגה,raw__גודל החברה,raw__מעבר מbig4,raw__מעבר לbig4,raw__roe,raw__מינוף,raw__סך הנכסים,raw__הון עצמי,raw__רווח,yahoo_ticker,google_finance_symbol,tase_security_id,isin,mapping_status,mapping_confidence,needs_manual_review
תמר פטרוליום,31/3/2026,2026-03-31,OK,19/3/2026,2026-03-19,OK,auditor_switch_date,31/3/2026,2026-03-31,2026,3,OK,False,ELIGIBLE_FOR_PRICE_EXTRACTION,,,0,0,Small to Small,READY_FOR_TICKER_MAPPING,13,False,3245.93,3270.0,0.007415440259,3245.93,3270.0,0.007415440259,0.007415440259032,-3.2068965538645244e-14,CONSISTENT,11,תמר פטרוליום,31/3/2026,19/3/2026,3245.93,3270.0,0.007415440259,,,22.47,0,0,0.344,1.69,5730000000.0,2130000000.0,734000000.0,TMRP.TA,TLV:TMRP,01141357,,MAPPED_MANUALLY,HIGH,False
אוברסיז,16/2/2026,2026-02-16,OK,לא פורסם עדיין,,INVALID_DATE,auditor_switch_date,16/2/2026,2026-02-16,2026,2,OK,False,ELIGIBLE_FOR_PRICE_EXTRACTION,,,0,0,Small to Small,READY_FOR_TICKER_MAPPING,14,False,550.52,528.12,-0.04068880331,550.52,528.12,-0.04068880331,-0.0406888033132311,3.231102885248305e-12,CONSISTENT,12,אוברסיז,16/2/2026,לא פורסם עדיין,550.52,528.12,-0.04068880331,,,20.28,0,0,0.038,1.94,641900000.0,217900000.0,8300000.0,OVRS.TA,TLV:OVRS,01139617,,MAPPED_MANUALLY,HIGH,False
מנדלסון תשתיות,18/2/2026,2026-02-18,OK,19/3/2026,2026-03-19,OK,auditor_switch_date,18/2/2026,2026-02-18,2026,2,OK,False,ELIGIBLE_FOR_PRICE_EXTRACTION,,,0,0,Small to Small,READY_FOR_TICKER_MAPPING,15,False,1345.7,1344.7,-0.0007431076763,1345.7,1344.7,-0.0007431076763,-0.0007431076763022,2.257092082680323e-15,CONSISTENT,13,מנדלסון תשתיות,18/2/2026,19/3/2026,1345.7,1344.7,-0.0007431076763,,,20.71,0,0,0.11,1,984200000.0,495300000.0,54600000.0,MNIN.TA,TLV:MNIN,,,MAPPED_MANUALLY,HIGH,False
"נקסט ג'ן ביומד בע""מ",18/12/2022,2022-12-18,OK,לא פורסם עדיין,,INVALID_DATE,auditor_switch_date,18/12/2022,2022-12-18,2022,12,OK,False,ELIGIBLE_FOR_PRICE_EXTRACTION,,,0,0,Small to Small,READY_FOR_TICKER_MAPPING,16,False,412.8,415.2,0.00243656481,412.8,415.2,0.00243656481,0.0058139534883721,-0.0033773886783721,CONSISTENT,14,"נקסט ג'ן ביומד בע""מ",18/12/2022,לא פורסם עדיין,412.8,415.2,0.00243656481,,,16.98,0,0,-0.124,0.15,23600000.0,20600000.0,2550000.0,,TLV:NXGN-M,,IL0010839301,MAPPED_MANUALLY,HIGH,False
מנרב,30/11/2022,2022-11-30,OK,30/3/2023,2023-03-30,OK,auditor_switch_date,30/11/2022,2022-11-30,2022,11,OK,False,ELIGIBLE_FOR_PRICE_EXTRACTION,,,0,0,Small to Small,READY_FOR_TICKER_MAPPING,17,False,,,#DIV/0!,,,,,,NOT_ENOUGH_DATA,15,מנרב,30/11/2022,30/3/2023,,,#DIV/0!,,,21.71,0,0,0.123,2.49,2670000000.0,764400000.0,94200000.0,MNRV.TA,TLV:MNRV,,,MAPPED_MANUALLY,HIGH,False
מיי טאון,2025-02-07 00:00:00,2025-02-07,OK,31/3/2026,2026-03-31,OK,auditor_switch_date,2025-02-07 00:00:00,2025-02-07,2025,2,OK,False,ELIGIBLE_FOR_PRICE_EXTRACTION,,,0,0,Small to Small,READY_FOR_TICKER_MAPPING,18,False,,,#DIV/0!,,,,,,NOT_ENOUGH_DATA,16,מיי טאון,2025-02-07 00:00:00,31/3/2026,,,#DIV/0!,,,19.51,0,0,-0.283,6.26,290950000.0,40783000.0,-11540000.0,,,01214626,IL0012146267,MAPPED_MANUALLY,HIGH,False
אגוד הנפקות,30/9/2020,2020-09-30,OK,2021-02-03 00:00:00,2021-02-03,OK,auditor_switch_date,30/9/2020,2020-09-30,2020,9,OK,False,ELIGIBLE_FOR_PRICE_EXTRACTION,,,0,0,Small to Small,READY_FOR_TICKER_MAPPING,19,False,,,#DIV/0!,,,,,,NOT_ENOUGH_DATA,17,אגוד הנפקות,30/9/2020,2021-02-03 00:00:00,,,#DIV/0!,,,22.03,0,0,0.0569,114.48,3706197000.0,32094000.0,1827000.0,,,,,PENDING_MANUAL_REVIEW,UNKNOWN,True
"אלקטרה נדל""ן",2020-09-09 00:00:00,2020-09-09,OK,18/03/2021,2021-03-18,OK,auditor_switch_date,2020-09-09 00:00:00,2020-09-09,2020,9,OK,False,ELIGIBLE_FOR_PRICE_EXTRACTION,,,0,0,Small to Small,READY_FOR_TICKER_MAPPING,20,False,,,#DIV/0!,,,,,,NOT_ENOUGH_DATA,18,"אלקטרה נדל""ן",2020-09-09 00:00:00,18/03/2021,,,#DIV/0!,,,20.84,0,0,0.222,1.4,1125250000.0,468013000.0,104000000.0,ELCRE.TA,TLV:ELCRE,01094044,,MAPPED_MANUALLY,HIGH,False
אינרום בניה,13/7/2025,2025-07-13,OK,20/03/2026,2026-03-20,OK,auditor_switch_date,13/7/2025,2025-07-13,2025,7,OK,False,ELIGIBLE_FOR_PRICE_EXTRACTION,,,0,0,Small to Small,READY_FOR_TICKER_MAPPING,21,False,,,#DIV/0!,,,,,,NOT_ENOUGH_DATA,19,אינרום בניה,13/7/2025,20/03/2026,,,#DIV/0!,,,21.49,0,0,0.162,0.63,2142645000.0,1311881000.0,212499000.0,INRM.TA,TLV:INRM,01132356,,MAPPED_MANUALLY,HIGH,False
"שדה נדל""ן",2020-07-09 00:00:00,2020-07-09,OK,31/03/2021,2021-03-31,OK,auditor_switch_date,2020-07-09 00:00:00,2020-07-09,2020,7,OK,False,ELIGIBLE_FOR_PRICE_EXTRACTION,,,0,1,Small to Big,READY_FOR_TICKER_MAPPING,22,False,,,#DIV/0!,,,,,,NOT_ENOUGH_DATA,20,"שדה נדל""ן",2020-07-09 00:00:00,31/03/2021,,,#DIV/0!,,,16.58,0,1,-3.032,2.56,15809000.0,4437000.0,-13451000.0,SADE.TA,TLV:SADE,,IL0003410169,MAPPED_MANUALLY,HIGH,False
ברנד,28/7/2025,2025-07-28,OK,19/4/2026,2026-04-19,OK,auditor_switch_date,28/7/2025,2025-07-28,2025,7,OK,False,ELIGIBLE_FOR_PRICE_EXTRACTION,,,0,0,Small to Small,READY_FOR_TICKER_MAPPING,23,False,,,#DIV/0!,,,,,,NOT_ENOUGH_DATA,21,ברנד,28/7/2025,19/4/2026,,,#DIV/0!,,,21.87,0,0,-0.043,2.74,3154332000.0,842608000.0,-35870000.0,BRND.TA,TLV:BRND,,,MAPPED_MANUALLY,HIGH,False
שירותי בנק אוטו,16/08/2020,2020-08-16,OK,25/03/2021,2021-03-25,OK,auditor_switch_date,16/08/2020,2020-08-16,2020,8,OK,False,ELIGIBLE_FOR_PRICE_EXTRACTION,,,1,0,Big to Small,READY_FOR_TICKER_MAPPING,24,False,,,#DIV/0!,,,,,,NOT_ENOUGH_DATA,22,שירותי בנק אוטו,16/08/2020,25/03/2021,,,#DIV/0!,,,19.38,1,0,0.115,0.14,260136000.0,229132000.0,26348000.0,SHVA.TA,TLV:SHVA,,,MAPPED_MANUALLY,HIGH,False
אוטונומוס,30/07/2025,2025-07-30,OK,30/03/2026,2026-03-30,OK,auditor_switch_date,30/07/2025,2025-07-30,2025,7,OK,False,ELIGIBLE_FOR_PRICE_EXTRACTION,,,1,0,Big to Small,READY_FOR_TICKER_MAPPING,25,False,,,#DIV/0!,,,,,,NOT_ENOUGH_DATA,23,אוטונומוס,30/07/2025,30/03/2026,,,#DIV/0!,,,18.65,1,0,-16.4,1.61,125626000.0,48184000.0,-7912000.0,AGRD.TA,TLV:AGRD,01083419,,MAPPED_MANUALLY,HIGH,False
חג׳ג׳ אירופה,6.11.2025,2025-11-06,OK,20/04/2026,2026-04-20,OK,auditor_switch_date,6.11.2025,2025-11-06,2025,11,OK,False,ELIGIBLE_FOR_PRICE_EXTRACTION,,,0,1,Small to Big,READY_FOR_TICKER_MAPPING,26,False,,,,,,,,,NOT_ENOUGH_DATA,24,חג׳ג׳ אירופה,6.11.2025,20/04/2026,,,,,,21.46,0,1,0.083,2.35,2088792000.0,623497000.0,51742000.0,HGGE.TA,TLV:HGGE,01143635,IL0011436354,MAPPED_MANUALLY,HIGH,False
אקסיליון,2020-09-08 00:00:00,2020-09-08,OK,26/03/2021,2021-03-26,OK,auditor_switch_date,2020-09-08 00:00:00,2020-09-08,2020,9,OK,False,ELIGIBLE_FOR_PRICE_EXTRACTION,,,0,0,Small to Small,READY_FOR_TICKER_MAPPING,27,False,,,,,,,,,NOT_ENOUGH_DATA,25,אקסיליון,2020-09-08 00:00:00,26/03/2021,,,,,,17.57,0,0,-7.659,0.16,42563000.0,36757000.0,-281543000.0,AILN.TA,TLV:AILN,00383018,,MAPPED_MANUALLY,HIGH,False
בוני תיכון,2020-02-08 00:00:00,2020-02-08,OK,25/03/2021,2021-03-25,OK,auditor_switch_date,2020-02-08 00:00:00,2020-02-08,2020,2,OK,False,ELIGIBLE_FOR_PRICE_EXTRACTION,,,1,0,Big to Small,READY_FOR_TICKER_MAPPING,28,False,,,,,,,,,NOT_ENOUGH_DATA,26,בוני תיכון,2020-02-08 00:00:00,25/03/2021,,,,,,20.01,1,0,-0.079,3.28,492098000.0,114915000.0,-9094000.0,BOTI.TA,TLV:BOTI,,IL0005310128,MAPPED_MANUALLY,HIGH,False
ישראל קנדה מלונות,2025-10-11 00:00:00,2025-10-11,OK,24.03.2026,2026-03-24,OK,auditor_switch_date,2025-10-11 00:00:00,2025-10-11,2025,10,OK,False,ELIGIBLE_FOR_PRICE_EXTRACTION,,,0,0,Small to Small,READY_FOR_TICKER_MAPPING,29,False,,,,,,,,,NOT_ENOUGH_DATA,27,ישראל קנדה מלונות,2025-10-11 00:00:00,24.03.2026,,,,,,21.37,0,0,0.074,3.76,1902737000.0,399985000.0,29723000.0,ICHO.TA,TLV:ICHO,,,MAPPED_MANUALLY,HIGH,False
נקסטייג׳,12.11.2025,2025-11-12,OK,20.04.2026,2026-04-20,OK,auditor_switch_date,12.11.2025,2025-11-12,2025,11,OK,False,ELIGIBLE_FOR_PRICE_EXTRACTION,,,1,0,Big to Small,READY_FOR_TICKER_MAPPING,30,False,,,,,,,,,NOT_ENOUGH_DATA,28, נקסטייג׳,12.11.2025,20.04.2026,,,,,,,1,0,,,353000.0,-5536000.0,-347000.0,NXTG.TA,TLV:NXTG,,IL0004330119,MAPPED_MANUALLY,HIGH,False
אפריקה מגורים,23/07/2020,2020-07-23,OK,17/03/2021,2021-03-17,OK,auditor_switch_date,23/07/2020,2020-07-23,2020,7,OK,False,ELIGIBLE_FOR_PRICE_EXTRACTION,,,0,0,Small to Small,READY_FOR_TICKER_MAPPING,31,False,,,,,,,,,NOT_ENOUGH_DATA,29,אפריקה מגורים,23/07/2020,17/03/2021,,,,,,,0,0,,,3673485000.0,1015459000.0,3044000.0,AFRE.TA,TLV:AFRE,01097948,,MAPPED_MANUALLY,HIGH,False
דורסל,7.1.2026,2026-01-07,OK,31.03.2026,2026-03-31,OK,auditor_switch_date,7.1.2026,2026-01-07,2026,1,OK,False,ELIGIBLE_FOR_PRICE_EXTRACTION,,,0,0,Small to Small,READY_FOR_TICKER_MAPPING,32,False,,,,,,,,,NOT_ENOUGH_DATA,30,דורסל,7.1.2026,31.03.2026,,,,,,,0,0,,,1350793000.0,1350793000.0,59368000.0,DRSL.TA,TLV:DRSL,01190628,,MAPPED_MANUALLY,HIGH,False
תמיס,12.01.2026,2026-01-12,OK,31.03.2026,2026-03-31,OK,auditor_switch_date,12.01.2026,2026-01-12,2026,1,OK,False,ELIGIBLE_FOR_PRICE_EXTRACTION,,,0,0,Small to Small,READY_FOR_TICKER_MAPPING,33,False,,,,,,,,,NOT_ENOUGH_DATA,31,תמיס,12.01.2026,31.03.2026,,,,,,,0,0,,,93069000.0,78682000.0,73734000.0,TMIS.TA,TLV:TMIS,01097229,IL0010972292,MAPPED_MANUALLY,HIGH,False
ישראכרט,16/07/2020,2020-07-16,OK,17.03.2021,2021-03-17,OK,auditor_switch_date,16/07/2020,2020-07-16,2020,7,OK,False,ELIGIBLE_FOR_PRICE_EXTRACTION,,,0,1,Small to Big,READY_FOR_TICKER_MAPPING,34,False,,,,,,,,,NOT_ENOUGH_DATA,32,ישראכרט,16/07/2020,17.03.2021,,,,,,,0,1,,,23215000000.0,2373000000.0,10000000.0,ISCD.TA,TLV:ISCD,01157403,,MAPPED_MANUALLY,HIGH,False
בליץ,28.01.2026,2026-01-28,OK,20.04.2026,2026-04-20,OK,auditor_switch_date,28.01.2026,2026-01-28,2026,1,OK,False,ELIGIBLE_FOR_PRICE_EXTRACTION,,,1,0,Big to Small,READY_FOR_TICKER_MAPPING,35,False,,,,,,,,,NOT_ENOUGH_DATA,33,בליץ,28.01.2026,20.04.2026,,,,,,,1,0,,,8665000.0,-1136000.0,-2878000.0,BLITZ.TA,TLV:BLITZ,,,MAPPED_MANUALLY,HIGH,False
פסיירקס ביוטק,12.02.2026,2026-02-12,OK,25.03.2026,2026-03-25,OK,auditor_switch_date,12.02.2026,2026-02-12,2026,2,OK,False,ELIGIBLE_FOR_PRICE_EXTRACTION,,,0,0,Small to Small,READY_FOR_TICKER_MAPPING,36,False,,,,,,,,,NOT_ENOUGH_DATA,34,פסיירקס ביוטק,12.02.2026,25.03.2026,,,,,,,0,0,,,1441000.0,26000.0,2092000.0,PSRX.TA,TLV:PSRX,01176908,,MAPPED_MANUALLY,HIGH,False
מלם-תים אחזקות,8.4.2024,2024-04-08,OK,13.06.2024,2024-06-13,OK,auditor_switch_date,8.4.2024,2024-04-08,2024,4,OK,False,ELIGIBLE_FOR_PRICE_EXTRACTION,,,0,0,Small to Small,READY_FOR_TICKER_MAPPING,37,False,,,,,,,,,NOT_ENOUGH_DATA,35,מלם-תים אחזקות,8.4.2024,13.06.2024,,,,,,,0,0,,,11675434000.0,5398190000.0,552111000.0,MLTH.TA,TLV:MLTH,00731018,,MAPPED_MANUALLY,HIGH,False
מיטק,2020-10-06 00:00:00,2020-10-06,OK,22.04.2021,2021-04-22,OK,auditor_switch_date,2020-10-06 00:00:00,2020-10-06,2020,10,OK,False,ELIGIBLE_FOR_PRICE_EXTRACTION,,,0,1,Small to Big,READY_FOR_TICKER_MAPPING,38,False,,,,,,,,,NOT_ENOUGH_DATA,36,מיטק,2020-10-06 00:00:00,22.04.2021,,,,,,,0,1,,,7554000.0,6426000.0,-10836000.0,,TLV:MITC,007222102,,MAPPED_MANUALLY,HIGH,False
פרידנזון,14.05.2020,2020-05-14,OK,02.03.2021,2021-03-02,OK,auditor_switch_date,14.05.2020,2020-05-14,2020,5,OK,False,ELIGIBLE_FOR_PRICE_EXTRACTION,,,0,1,Small to Big,READY_FOR_TICKER_MAPPING,39,False,,,,,,,,,NOT_ENOUGH_DATA,37,פרידנזון,14.05.2020,02.03.2021,,,,,,,0,1,,,427830000.0,86152000.0,-923000.0,FRDN.TA,TLV:FRDN,01102219,,MAPPED_MANUALLY,HIGH,False
מטריקס,3.4.2024,2024-04-03,OK,18.03.2024,2024-03-18,OK,auditor_switch_date,3.4.2024,2024-04-03,2024,4,OK,False,ELIGIBLE_FOR_PRICE_EXTRACTION,,,1,0,Big to Small,READY_FOR_TICKER_MAPPING,40,False,,,,,,,,,NOT_ENOUGH_DATA,38,מטריקס,3.4.2024,18.03.2024,,,,,,,1,0,,,4084180000.0,1107472000.0,246855000.0,MTRX.TA,TLV:MTRX,00445015,,MAPPED_MANUALLY,HIGH,False
לאומי,24.3.2020,2020-03-24,OK,9.3.2021,2021-03-09,OK,auditor_switch_date,24.3.2020,2020-03-24,2020,3,OK,False,ELIGIBLE_FOR_PRICE_EXTRACTION,,,0,0,Small to Small,READY_FOR_TICKER_MAPPING,41,False,,,,,,,,,NOT_ENOUGH_DATA,39,לאומי,24.3.2020,9.3.2021,,,,,,,0,0,,,469134000000.0,35874000000.0,3560000000.0,LUMI.TA,TLV:LUMI,00604611,,MAPPED_MANUALLY,HIGH,False
ברק בית השקעות,17.3.2020,2020-03-17,OK,30.3.2020,2020-03-30,OK,auditor_switch_date,17.3.2020,2020-03-17,2020,3,OK,False,ELIGIBLE_FOR_PRICE_EXTRACTION,,,0,1,Small to Big,READY_FOR_TICKER_MAPPING,42,False,,,,,,,,,NOT_ENOUGH_DATA,40,ברק בית השקעות,17.3.2020,30.3.2020,,,,,,,0,1,,,16365000.0,10573000.0,-1327000.0,BARI.TA,TLV:BARI,01104363,IL0011043630,MAPPED_MANUALLY,HIGH,False
שוהם ביזנס,18.2.2024,2024-02-18,OK,27.3.2024,2024-03-27,OK,auditor_switch_date,18.2.2024,2024-02-18,2024,2,OK,False,ELIGIBLE_FOR_PRICE_EXTRACTION,,,0,0,Small to Small,READY_FOR_TICKER_MAPPING,43,False,,,,,,,,,NOT_ENOUGH_DATA,41,שוהם ביזנס,18.2.2024,27.3.2024,,,,,,,0,0,,,996752000.0,174641000.0,30645000.0,SHOM.TA,TLV:SHOM,01082007,,MAPPED_MANUALLY,HIGH,False
אימקו,17.2.2020,2020-02-17,OK,28.4.2020,2020-04-28,OK,auditor_switch_date,17.2.2020,2020-02-17,2020,2,OK,False,ELIGIBLE_FOR_PRICE_EXTRACTION,,,0,1,Small to Big,READY_FOR_TICKER_MAPPING,44,False,,,,,,,,,NOT_ENOUGH_DATA,42,אימקו,17.2.2020,28.4.2020,,,,,,,0,1,,,158862000.0,91207000.0,4028000.0,IMCO.TA,TLV:IMCO,,IL0002820129,MAPPED_MANUALLY,HIGH,False
ווליו פ2פ,02.02.2020,2020-02-02,OK,23.3.2020,2020-03-23,OK,auditor_switch_date,02.02.2020,2020-02-02,2020,2,OK,False,ELIGIBLE_FOR_PRICE_EXTRACTION,,,0,1,Small to Big,READY_FOR_TICKER_MAPPING,45,False,,,,,,,,,NOT_ENOUGH_DATA,43,ווליו פ2פ,02.02.2020,23.3.2020,,,,,,,0,1,,,524103676.0,10216188.0,1145578.0,,TLV:P2P.L,01155936,IL0011559361,MAPPED_MANUALLY,HIGH,False
ישראייר גרופ,14.02.2024,2024-02-14,OK,31.03.2024,2024-03-31,OK,auditor_switch_date,14.02.2024,2024-02-14,2024,2,OK,False,ELIGIBLE_FOR_PRICE_EXTRACTION,,,0,1,Small to Big,READY_FOR_TICKER_MAPPING,46,False,,,,,,,,,NOT_ENOUGH_DATA,44,ישראייר גרופ,14.02.2024,31.03.2024,,,,,,,0,1,,,1142067710.0,98312768.0,78800678.0,ISRG.TA,TLV:ISRG,01187194,,MAPPED_MANUALLY,HIGH,False
תעוזה,28.1.2020,2020-01-28,OK,29.3.2020,2020-03-29,OK,auditor_switch_date,28.1.2020,2020-01-28,2020,1,OK,False,ELIGIBLE_FOR_PRICE_EXTRACTION,,,0,0,Small to Small,READY_FOR_TICKER_MAPPING,47,False,,,,,,,,,NOT_ENOUGH_DATA,45,תעוזה,28.1.2020,29.3.2020,,,,,,,0,0,,,89706296.0,83209044.0,-4949608.0,TUZA.TA,TLV:TUZA,00290023,IL0002900236,MAPPED_MANUALLY,HIGH,False
