event_id,company_name,switch_type,event_date_basis,event_date,yahoo_ticker,mapping_status,mapping_confidence,stock_t_minus_5_date,stock_event_trading_date,stock_t_plus_5_date,market_t_minus_5_date,market_event_trading_date,market_t_plus_5_date,stock_price_t_minus_5,stock_price_event,stock_price_t_plus_5,ta125_price_t_minus_5,ta125_price_event,ta125_price_t_plus_5,price_status,market_price_status,analysis_eligible,analysis_exclusion_reason,price_notes,market_price_notes,stock_return,ta125_return,market_adjusted_return,stock_return_pct,ta125_return_pct,market_adjusted_return_pct,stock_event_day_position,ta125_event_day_position,market_adjusted_event_day_position,stock_event_day_position_pct,ta125_event_day_position_pct,market_adjusted_event_day_position_pct,reaction_direction,absolute_market_adjusted_return,is_extreme_market_adjusted_return_20pct,is_extreme_market_adjusted_return_50pct,outlier_note
12,אוברסיז,Small to Small,auditor_switch_date,2026-02-16,OVRS.TA,MAPPED_MANUALLY,HIGH,2026-02-09,2026-02-16,2026-02-23,2026-02-09,2026-02-16,2026-02-23,553.2999877929688,556.0,532.7999877929688,4092.75,4164.52978515625,4204.6298828125,OK,OK,True,INCLUDED,,,-0.03705042554179594,0.02733611454706497,-0.06438654008886091,-3.705042554179594,2.733611454706497,-6.4386540088860915,0.0048798342067586375,0.017538277479995035,-0.012658443273236397,0.48798342067586375,1.7538277479995035,-1.2658443273236397,Negative,0.06438654008886091,False,False,
13,מנדלסון תשתיות,Small to Small,auditor_switch_date,2026-02-18,MNIN.TA,MAPPED_MANUALLY,HIGH,2026-02-11,2026-02-18,2026-02-25,2026-02-11,2026-02-18,2026-02-25,1451.0,1466.0,1456.0,4136.009765625,4202.509765625,4103.06982421875,OK,OK,True,INCLUDED,,,0.00344589937973816,-0.007964183663205726,0.011410083042943886,0.344589937973816,-0.7964183663205726,1.1410083042943886,0.010337698139214258,0.01607829859414056,-0.0057406004549263034,1.0337698139214258,1.607829859414056,-0.5740600454926303,Positive,0.011410083042943886,False,False,
14,"נקסט ג'ן ביומד בע""מ",Small to Small,auditor_switch_date,2022-12-18,,MAPPED_MANUALLY,HIGH,,,,,,,,,,,,,MISSING_TICKER,,False,STOCK_PRICE_STATUS_NOT_OK,Yahoo ticker is missing.,,,,,,,,,,,,,,Not calculated,,False,False,
15,מנרב,Small to Small,auditor_switch_date,2022-11-30,MNRV.TA,MAPPED_MANUALLY,HIGH,,,,,,,,,,,,,TICKER_VALIDATION_FAILED,OK,False,STOCK_PRICE_STATUS_NOT_OK,Ticker validation status: NO_DATA_RETURNED,OK,,,,,,,,,,,,,Not calculated,,False,False,
16,מיי טאון,Small to Small,auditor_switch_date,2025-02-07,,MAPPED_MANUALLY,HIGH,,,,,,,,,,,,,MISSING_TICKER,,False,STOCK_PRICE_STATUS_NOT_OK,Yahoo ticker is missing.,,,,,,,,,,,,,,Not calculated,,False,False,
17,אגוד הנפקות,Small to Small,auditor_switch_date,2020-09-30,,PENDING_MANUAL_REVIEW,UNKNOWN,,,,,,,,,,,,,MISSING_TICKER,,False,STOCK_PRICE_STATUS_NOT_OK,Yahoo ticker is missing.,,,,,,,,,,,,,,Not calculated,,False,False,
18,"אלקטרה נדל""ן",Small to Small,auditor_switch_date,2020-09-09,ELCRE.TA,MAPPED_MANUALLY,HIGH,2020-09-01,2020-09-09,2020-09-17,2020-09-01,2020-09-09,2020-09-17,1541.0,1477.0,1456.0,1422.260009765625,1352.81005859375,1356.0699462890625,OK,OK,True,INCLUDED,,,-0.055158987670343884,-0.046538651879461934,-0.00862033579088195,-5.515898767034388,-4.653865187946193,-0.862033579088195,-0.04153147306943539,-0.04883069951697494,0.007299226447539553,-4.153147306943539,-4.883069951697494,0.7299226447539553,Negative,0.00862033579088195,False,False,
19,אינרום בניה,Small to Small,auditor_switch_date,2025-07-13,INRM.TA,MAPPED_MANUALLY,HIGH,2025-07-03,2025-07-14,2025-07-22,2025-07-03,2025-07-14,2025-07-22,2288.0,2251.0,2244.0,3097.31005859375,3054.89990234375,3111.389892578125,OK,OK,True,INCLUDED,,,-0.019230769230769273,0.004545826448763002,-0.023776595679532275,-1.9230769230769273,0.4545826448763002,-2.3776595679532275,-0.016171328671328644,-0.0136925769289159,-0.0024787517424127437,-1.6171328671328644,-1.36925769289159,-0.24787517424127437,Negative,0.023776595679532275,False,False,
20,"שדה נדל""ן",Small to Big,auditor_switch_date,2020-07-09,SADE.TA,MAPPED_MANUALLY,HIGH,2020-07-01,2020-07-09,2020-07-20,2020-07-01,2020-07-09,2020-07-20,2194.0,2220.0,4405.0,1361.9100341796875,1337.9599609375,1386.5799560546875,OK,OK,True,INCLUDED,,,1.0077484047402003,0.018114208175181945,0.9896341965650184,100.77484047402004,1.8114208175181945,98.96341965650184,0.01185050136736554,-0.017585650036430756,0.029436151403796296,1.185050136736554,-1.7585650036430756,2.9436151403796296,Positive,0.9896341965650184,True,True,"Extreme return; verify ticker, corporate actions, liquidity, and event-date validity."
21,ברנד,Small to Small,auditor_switch_date,2025-07-28,BRND.TA,MAPPED_MANUALLY,HIGH,2025-07-17,2025-07-28,2025-08-05,2025-07-17,2025-07-28,2025-08-05,359.0,367.6000061035156,351.0,3086.580078125,3108.429931640625,3002.409912109375,OK,OK,True,INCLUDED,,,-0.02228412256267409,-0.027269717255077874,0.004985594692403783,-2.228412256267409,-2.7269717255077874,0.4985594692403783,0.02395544875631095,0.007078984818983836,0.016876463937327113,2.395544875631095,0.7078984818983836,1.6876463937327113,Neutral,0.004985594692403783,False,False,
