switch_type,total_events,eligible_events,excluded_events,eligibility_rate,mean_stock_return,median_stock_return,mean_ta125_return,median_ta125_return,mean_market_adjusted_return,median_market_adjusted_return,std_market_adjusted_return,min_market_adjusted_return,max_market_adjusted_return,mean_market_adjusted_return_excluding_20pct_outliers,median_market_adjusted_return_excluding_20pct_outliers,number_of_20pct_outliers,number_of_50pct_outliers,positive_reactions_count,negative_reactions_count,neutral_reactions_count,mean_stock_return_pct,mean_ta125_return_pct,mean_market_adjusted_return_pct,mean_market_adjusted_return_excluding_20pct_outliers_pct
Big to Small,11.0,7.0,4.0,0.6364,-0.03387335876291707,-0.022249388753056265,-0.004241720084658475,0.006091096321655165,-0.029631638678258593,0.020801927709879764,0.09442761051941177,-0.1687305088675507,0.07359732316945333,-0.029631638678258593,0.020801927709879764,0.0,0.0,4.0,3.0,0.0,-3.387335876291707,-0.42417200846584746,-2.9631638678258594,-2.9631638678258594
Small to Big,10.0,8.0,2.0,0.8,0.059145595236966816,-0.03739132707725157,-0.0031101098319801235,0.02555768501062916,0.06225570506894694,-0.03955221855548702,0.3871570297461485,-0.24441105061867396,0.9896341965650184,-0.04119625089912815,-0.03955221855548702,2.0,1.0,3.0,5.0,0.0,5.914559523696681,-0.31101098319801235,6.225570506894694,-4.119625089912815
Small to Small,29.0,21.0,8.0,0.7241,-0.038970356180889655,-0.01693548387096777,0.003918764069988557,0.004545826448763002,-0.04288912025087821,-0.00862033579088195,0.22389894665156648,-0.9449630952713407,0.2493650550449682,-0.010793341318003679,-0.00862033579088195,2.0,1.0,6.0,12.0,3.0,-3.8970356180889656,0.39187640699885573,-4.288912025087821,-1.079334131800368
