company_name,switch_type,event_date,yahoo_ticker,stock_return_pct,ta125_return_pct,market_adjusted_return_pct,reaction_direction
"שדה נדל""ן",Small to Big,2020-07-09,SADE.TA,100.77484047402004,1.8114208175181945,98.96341965650184,Positive
פסיירקס ביוטק,Small to Small,2026-02-12,PSRX.TA,28.556373064684326,3.6198675601875063,24.93650550449682,Positive
ישראל קנדה מלונות,Small to Small,2025-10-11,ICHO.TA,26.232739717792164,6.76871043205669,19.464029285735474,Positive
טוגדר,Small to Small,2025-07-28,TGTR.TA,5.6928068084029615,-2.7269717255077874,8.41977853391075,Positive
שירותי בנק אוטו,Big to Small,2020-08-16,SHVA.TA,9.170307062430183,1.8105747454848498,7.359732316945333,Positive
חג׳ג׳ אירופה,Small to Big,2025-11-06,HGGE.TA,10.761589714680863,5.044633155580813,5.71695655910005,Positive
ספידווליו,Big to Small,2025-08-24,SPDV.TA,5.105105105105112,0.6091096321655165,4.495995472939596,Positive
ישראכרט,Small to Big,2020-07-16,ISCD.TA,5.469480885107592,2.5610802089237827,2.908400676183809,Positive
בוני תיכון,Big to Small,2020-02-08,BOTI.TA,3.632557676007253,1.2687639866405975,2.3637936893666556,Positive
מטריקס,Big to Small,2024-04-03,MTRX.TA,-2.2249388753056265,-4.305131646293603,2.0801927709879764,Positive
