Date,Open,High,Low,Close,Adj_Close,Volume,ticker,price_source
2024-01-04,564.9000244140625,615.0,564.9000244140625,611.0,610.4430541992188,122345,SHOM.TA,yfinance
2024-01-08,611.7999877929688,611.7999877929688,591.7999877929688,602.4000244140625,601.8508911132812,71093,SHOM.TA,yfinance
2024-01-09,602.4000244140625,615.9000244140625,592.4000244140625,599.7000122070312,599.1533203125,43749,SHOM.TA,yfinance
2024-01-10,599.7000122070312,609.5,592.7999877929688,599.4000244140625,598.8536376953125,14259,SHOM.TA,yfinance
2024-01-11,599.4000244140625,612.5,590.4000244140625,599.7000122070312,599.1533203125,49453,SHOM.TA,yfinance
2024-01-15,611.9000244140625,614.5,609.0999755859375,610.9000244140625,610.3431396484375,17279,SHOM.TA,yfinance
2024-01-16,610.9000244140625,611.0999755859375,600.2000122070312,608.4000244140625,607.845458984375,25189,SHOM.TA,yfinance
2024-01-17,608.4000244140625,608.4000244140625,590.0,591.2000122070312,590.6610717773438,15353,SHOM.TA,yfinance
2024-01-18,591.2000122070312,596.7000122070312,576.4000244140625,586.2000122070312,585.6656494140625,25816,SHOM.TA,yfinance
2024-01-22,583.0,583.0,568.0,569.0999755859375,568.5811767578125,13652,SHOM.TA,yfinance
2024-01-23,569.0999755859375,567.0,520.2000122070312,552.7999877929688,552.2960205078125,18281,SHOM.TA,yfinance
2024-01-24,552.7999877929688,580.4000244140625,552.7999877929688,573.4000244140625,572.8773193359375,34230,SHOM.TA,yfinance
2024-01-25,573.4000244140625,585.4000244140625,575.0,579.2999877929688,578.77197265625,23629,SHOM.TA,yfinance
2024-01-29,577.0999755859375,580.7999877929688,560.0999755859375,566.5999755859375,566.08349609375,56649,SHOM.TA,yfinance
2024-01-30,566.5999755859375,579.7999877929688,550.0,570.2000122070312,569.68017578125,58251,SHOM.TA,yfinance
2024-01-31,570.2000122070312,570.2999877929688,559.5,568.5,567.9817504882812,29944,SHOM.TA,yfinance
2024-02-01,568.5,562.9000244140625,560.2999877929688,562.0,561.4877319335938,52127,SHOM.TA,yfinance
2024-02-05,557.7999877929688,557.7000122070312,555.0,557.2999877929688,556.7919921875,12685,SHOM.TA,yfinance
2024-02-06,557.2999877929688,555.4000244140625,528.0,551.2999877929688,550.7974243164062,68829,SHOM.TA,yfinance
2024-02-07,551.2999877929688,555.0,550.0,551.9000244140625,551.39697265625,33494,SHOM.TA,yfinance
2024-02-08,551.9000244140625,566.9000244140625,551.5,558.0,557.4913940429688,62939,SHOM.TA,yfinance
2024-02-12,550.0,564.7999877929688,549.0,553.9000244140625,553.3951416015625,32016,SHOM.TA,yfinance
2024-02-13,553.9000244140625,567.5,548.5999755859375,564.7000122070312,564.185302734375,17114,SHOM.TA,yfinance
2024-02-14,564.7000122070312,602.0,555.0,570.2999877929688,569.7801513671875,50656,SHOM.TA,yfinance
2024-02-15,570.2999877929688,583.5999755859375,562.9000244140625,573.5,572.9771728515625,10705,SHOM.TA,yfinance
2024-02-19,589.4000244140625,601.9000244140625,581.0,597.5999755859375,597.0552368164062,11519,SHOM.TA,yfinance
2024-02-20,597.5999755859375,597.5999755859375,590.0,595.4000244140625,594.8572998046875,16126,SHOM.TA,yfinance
2024-02-21,595.2000122070312,595.2000122070312,585.0999755859375,590.7000122070312,590.1615600585938,7866,SHOM.TA,yfinance
2024-02-22,587.7000122070312,587.7000122070312,582.0,584.0999755859375,583.567626953125,8323,SHOM.TA,yfinance
2024-02-26,584.7000122070312,590.0,583.9000244140625,590.0,589.4622192382812,10103,SHOM.TA,yfinance
2024-02-28,590.0,591.5999755859375,580.0,584.9000244140625,584.3668823242188,28200,SHOM.TA,yfinance
2024-02-29,584.9000244140625,584.9000244140625,574.0,576.5,575.9744873046875,27245,SHOM.TA,yfinance
2024-03-04,578.7000122070312,585.0,580.2999877929688,584.7999877929688,584.2669067382812,39641,SHOM.TA,yfinance
2024-03-05,585.0,585.0,581.9000244140625,583.2999877929688,582.768310546875,5518,SHOM.TA,yfinance
2024-03-06,583.2999877929688,583.2999877929688,583.2999877929688,583.2999877929688,582.768310546875,0,SHOM.TA,yfinance
2024-03-07,603.0999755859375,605.5999755859375,589.0,596.2999877929688,595.7564697265625,18799,SHOM.TA,yfinance
2024-03-11,593.5,593.5,575.7000122070312,579.5999755859375,579.0716552734375,10869,SHOM.TA,yfinance
2024-03-12,579.5999755859375,580.0,570.0999755859375,571.0999755859375,570.5794067382812,17756,SHOM.TA,yfinance
2024-03-13,571.0999755859375,565.2000122070312,560.0,562.7000122070312,562.1870727539062,22914,SHOM.TA,yfinance
2024-03-14,562.7000122070312,564.9000244140625,555.0999755859375,555.5999755859375,555.0935668945312,20907,SHOM.TA,yfinance
2024-03-18,554.0,571.0999755859375,550.0,570.0,569.48046875,36778,SHOM.TA,yfinance
2024-03-19,570.0,595.4000244140625,579.2000122070312,590.7999877929688,590.2614135742188,39837,SHOM.TA,yfinance
2024-03-20,590.7999877929688,593.0999755859375,585.2999877929688,591.4000244140625,590.8609619140625,30596,SHOM.TA,yfinance
2024-03-21,591.4000244140625,597.2999877929688,586.7000122070312,596.7999877929688,596.2559814453125,44910,SHOM.TA,yfinance
2024-03-25,596.7999877929688,601.0,591.0,600.7000122070312,600.1524658203125,45201,SHOM.TA,yfinance
2024-03-26,600.7000122070312,604.9000244140625,595.5999755859375,600.9000244140625,600.352294921875,22767,SHOM.TA,yfinance
2024-03-27,600.9000244140625,604.7000122070312,564.9000244140625,575.9000244140625,575.3750610351562,78404,SHOM.TA,yfinance
2024-03-28,575.9000244140625,603.0,535.0999755859375,544.0,543.504150390625,98261,SHOM.TA,yfinance
2024-04-01,509.29998779296875,555.0,506.0,549.7999877929688,549.298828125,406459,SHOM.TA,yfinance
2024-04-02,550.0,551.4000244140625,520.0,548.2999877929688,547.8001708984375,98401,SHOM.TA,yfinance
2024-04-03,548.2999877929688,560.0,545.5999755859375,554.2000122070312,553.6947631835938,84101,SHOM.TA,yfinance
